File,SP,CS,Date
BB30013,-5485178,8,04/07/2016 0:00:00
BB30014,-153897,2,04/07/2016 0:00:00
BB30015,-87149,3,04/07/2016 0:00:00
BB30016,-1380622,0,04/07/2016 0:00:00
BB30017,1426,1,04/07/2016 0:00:00
BB30018,-1182589,7,04/07/2016 0:00:00
BB30019,-950167,6,04/07/2016 0:00:00
BB30020,-3767289,0,04/07/2016 0:00:00
BB30021,-9147280,2,04/07/2016 0:00:00
BB30022,-406783,3,04/07/2016 0:00:00
BB30023,-3662207,0,04/07/2016 0:00:00
BB30024,-2625592,2,04/07/2016 0:00:00
BB30025,-3528989,1,04/07/2016 0:00:00
BB30026,-3456720,4,04/07/2016 0:00:00
BB30027,-43213,3,04/07/2016 0:00:00
BB30028,1115435,1,04/07/2016 0:00:00
BB30029,-5358650,10,04/07/2016 0:00:00
BB30030,-12025306,10,04/07/2016 0:00:00
BB40001,-1394797,6,04/07/2016 0:00:00
BB40002,-32799841,0,04/07/2016 0:00:00
BB40003,-12530,46,04/07/2016 0:00:00
BB40004,-4206329,12,04/07/2016 0:00:00
BB40005,25915,27,04/07/2016 0:00:00
BB40006,-16825,8,04/07/2016 0:00:00
BB40007,-722,13,04/07/2016 0:00:00
BB40008,-11272,13,04/07/2016 0:00:00
BB40009,-209933,5,04/07/2016 0:00:00
BB40010,-4321,11,04/07/2016 0:00:00
BB40011,-7309267,1,04/07/2016 0:00:00
BB40012,-53840,3,04/07/2016 0:00:00
BB40013,-1128518,0,04/07/2016 0:00:00
BB40014,1147,28,04/07/2016 0:00:00
BB40015,-7423233,0,04/07/2016 0:00:00
BB40016,-1444545,0,04/07/2016 0:00:00
BB40017,-1444545,0,04/07/2016 0:00:00
BB40018,-74937,8,04/07/2016 0:00:00
BB40019,-70900,48,04/07/2016 0:00:00
BB40020,-429843,27,04/07/2016 0:00:00
BB40021,-329332,19,04/07/2016 0:00:00
BB40022,-151268,10,04/07/2016 0:00:00
BB40023,-3745892,4,04/07/2016 0:00:00
BB40024,-3663782,3,04/07/2016 0:00:00
BB40025,-21887,13,04/07/2016 0:00:00
BB40026,-2710697,5,04/07/2016 0:00:00
BB40027,-4995069,0,04/07/2016 0:00:00
BB40028,-141873,22,04/07/2016 0:00:00
BB40029,-328144,5,04/07/2016 0:00:00
BB40030,-552196,14,04/07/2016 0:00:00
BB40031,-706949,18,04/07/2016 0:00:00
BB40032,1148,26,04/07/2016 0:00:00
BB40033,-97583,7,04/07/2016 0:00:00
BB40034,-950167,6,04/07/2016 0:00:00
BB40035,-2077302,11,04/07/2016 0:00:00
BB40036,-103311,13,04/07/2016 0:00:00
BB40037,-1529581,0,04/07/2016 0:00:00
BB40038,-1687223,2,04/07/2016 0:00:00
BB40039,-2508109,20,04/07/2016 0:00:00
BB40040,-1767676,15,04/07/2016 0:00:00
BB40041,-12569295,5,04/07/2016 0:00:00
BB40042,-1152629,0,04/07/2016 0:00:00
BB40043,-127323,4,04/07/2016 0:00:00
BB40044,-1923481,1,04/07/2016 0:00:00
BB40045,-29219,12,04/07/2016 0:00:00
BB40046,-2118176,4,04/07/2016 0:00:00
BB40047,-18274981,12,04/07/2016 0:00:00
BB40048,-223130,57,04/07/2016 0:00:00
BB40049,-64954027,5,04/07/2016 0:00:00
BB50001,-189174,3,04/07/2016 0:00:00
BB50002,-126273,0,04/07/2016 0:00:00
BB50003,-1924584,10,04/07/2016 0:00:00
BB50004,20967,41,04/07/2016 0:00:00
BB50005,61376,79,04/07/2016 0:00:00
BB50006,-10726927,3,04/07/2016 0:00:00
BB50007,-136937,2,04/07/2016 0:00:00
BB50008,-158658,14,04/07/2016 0:00:00
BB50009,-269203,3,04/07/2016 0:00:00
BB50010,-132270,4,04/07/2016 0:00:00
BB50011,-1375891,5,04/07/2016 0:00:00
BB50012,-16596590,7,04/07/2016 0:00:00
BB50013,56004,16,04/07/2016 0:00:00
BB50014,-305962,19,04/07/2016 0:00:00
BB50015,-2475633,2,04/07/2016 0:00:00
BB50016,-607032,11,04/07/2016 0:00:00
BBS11001,369,1,04/07/2016 0:00:00
BBS11002,136,2,04/07/2016 0:00:00
BBS11003,845,14,04/07/2016 0:00:00
BBS11004,133,11,04/07/2016 0:00:00
BBS11005,-34254,2,04/07/2016 0:00:00
BBS11006,-4944,2,04/07/2016 0:00:00
BBS11007,-2794,5,04/07/2016 0:00:00
BBS11008,207,5,04/07/2016 0:00:00
BBS11009,463,6,04/07/2016 0:00:00
BBS11010,33,14,04/07/2016 0:00:00
BBS11011,-751,3,04/07/2016 0:00:00
BBS11012,1575,20,04/07/2016 0:00:00
BBS11013,-139,0,04/07/2016 0:00:00
BBS11014,2942,16,04/07/2016 0:00:00
BBS11015,928,14,04/07/2016 0:00:00
BBS11016,-2975,5,04/07/2016 0:00:00
BBS11017,110,14,04/07/2016 0:00:00
BBS11018,-51411,9,04/07/2016 0:00:00
BBS11019,-4883,4,04/07/2016 0:00:00
BBS11020,-1222,2,04/07/2016 0:00:00
BBS11021,363,10,04/07/2016 0:00:00
BBS11022,-18,1,04/07/2016 0:00:00
BBS11023,-1975,4,04/07/2016 0:00:00
BBS11024,-179,7,04/07/2016 0:00:00
BBS11025,-34,1,04/07/2016 0:00:00
BBS11026,46,0,04/07/2016 0:00:00
BBS11027,-1113,2,04/07/2016 0:00:00
BBS11028,-918,1,04/07/2016 0:00:00
BBS11029,254,5,04/07/2016 0:00:00
BBS11030,-20837,0,04/07/2016 0:00:00
BBS11031,-24991,4,04/07/2016 0:00:00
BBS11032,159,4,04/07/2016 0:00:00
BBS11033,-2690,1,04/07/2016 0:00:00
