File,SP,CS,Date
1aisB_1guxB,-31683,0,04/07/2016 0:00:00
1aj6_1b63A,91488,9,04/07/2016 0:00:00
1aj8A_1csh,1099320,32,04/07/2016 0:00:00
1ajqA_1cp9A,181005,3,04/07/2016 0:00:00
1ajqB_1nedA,-357925,0,04/07/2016 0:00:00
1ajsA_1aam,846636,17,04/07/2016 0:00:00
1ajsA_1ibjA,300588,4,04/07/2016 0:00:00
1ak1_1hrkA,555365,1,04/07/2016 0:00:00
1ako_1bix,404237,18,04/07/2016 0:00:00
1alu_1bgc,141525,1,04/07/2016 0:00:00
1alu_1cnt3,-47921,0,04/07/2016 0:00:00
1alu_1i1rB,129671,1,04/07/2016 0:00:00
1aly_1d4vB,138771,3,04/07/2016 0:00:00
1aly_1dyoA,-187250,0,04/07/2016 0:00:00
1aly_2tnfA,174303,5,04/07/2016 0:00:00
1am2_1at0,-796975,0,04/07/2016 0:00:00
1am7A_3lzt,6977,2,04/07/2016 0:00:00
1amj_1zymA,12940,1,04/07/2016 0:00:00
1amk_1hg3A,681933,14,04/07/2016 0:00:00
1amoA_1ddgB,661015,24,04/07/2016 0:00:00
1amoA_1ep2B,50530,2,04/07/2016 0:00:00
1amoA_1fnc,277793,6,04/07/2016 0:00:00
1amoA_1qfjA,103882,5,04/07/2016 0:00:00
1amoA_1rcf,101457,3,04/07/2016 0:00:00
1amp_1b8oA,-184489,0,04/07/2016 0:00:00
1amp_1cg2A,-225330,3,04/07/2016 0:00:00
1amp_1cx8B,-1134023,0,04/07/2016 0:00:00
1amp_1xjo,-47473,5,04/07/2016 0:00:00
1amuA_1lci,505492,6,04/07/2016 0:00:00
1an8_1aw7A,106408,0,04/07/2016 0:00:00
1an8_1eu4A,184949,4,04/07/2016 0:00:00
1an8_1f77B,187523,4,04/07/2016 0:00:00
1an9A_1c0pA,119315,6,04/07/2016 0:00:00
1aoa_1bkrA,-455564,0,04/07/2016 0:00:00
1aocA_1bndA,-18460,1,04/07/2016 0:00:00
1aoeA_1d1gA,116316,4,04/07/2016 0:00:00
1aoeA_1vdrA,256877,10,04/07/2016 0:00:00
1aoeA_3dfr,123998,9,04/07/2016 0:00:00
1aohA_1anu,117121,3,04/07/2016 0:00:00
1aohA_1g1kB,121992,2,04/07/2016 0:00:00
1aoiA_1bh9B,18448,0,04/07/2016 0:00:00
1aoiA_1tafA,40568,0,04/07/2016 0:00:00
1aoiB_1a7w,55505,0,04/07/2016 0:00:00
1aoiB_1aoiD,66122,0,04/07/2016 0:00:00
1aoiB_1jfiB,-14766,0,04/07/2016 0:00:00
1aoiB_1tafA,13104,1,04/07/2016 0:00:00
1aoiC_1f66G,266194,2,04/07/2016 0:00:00
1aoiD_1aoiB,66122,0,04/07/2016 0:00:00
1aoiD_1jfiB,-104437,0,04/07/2016 0:00:00
1aoxA_1atzA,72701,1,04/07/2016 0:00:00
1aoxA_1auq,6233,3,04/07/2016 0:00:00
1aoxA_1ido,86214,1,04/07/2016 0:00:00
1aoy_1b4aA,-615,0,04/07/2016 0:00:00
1ap0_1dz1A,19583,0,04/07/2016 0:00:00
1ap8_1ejhA,317319,7,04/07/2016 0:00:00
1apyA_1ayyC,97694,4,04/07/2016 0:00:00
1apyB_2gawD,204547,8,04/07/2016 0:00:00
1aq0A_1eokA,83492,2,04/07/2016 0:00:00
1aq0A_1ghsB,1053788,27,04/07/2016 0:00:00
1aqb_1avgI,19153,2,04/07/2016 0:00:00
1aqb_1bebA,34133,1,04/07/2016 0:00:00
1aqb_1epaA,-55954,1,04/07/2016 0:00:00
1aqb_1h91A,99607,3,04/07/2016 0:00:00
1aqt_1e79H,196228,4,04/07/2016 0:00:00
1aquA_1fmlB,444649,4,04/07/2016 0:00:00
1aqzA_1de3A,713,123,04/07/2016 0:00:00
1aqzA_9rnt,10341,12,04/07/2016 0:00:00
1arb_2hrvA,-27369,4,04/07/2016 0:00:00
1ash_1a6m,135220,7,04/07/2016 0:00:00
1ash_1flp,189250,2,04/07/2016 0:00:00
1ash_1ithA,170834,4,04/07/2016 0:00:00
1ash_2fal,128162,4,04/07/2016 0:00:00
1at3A_1fl1A,323001,15,04/07/2016 0:00:00
1at3A_1lay,296357,17,04/07/2016 0:00:00
1atg_1ixh,-40611,0,04/07/2016 0:00:00
1atg_1mrp,17408,0,04/07/2016 0:00:00
1atg_1wod,117830,0,04/07/2016 0:00:00
1atiA_1g5hA,-142601,6,04/07/2016 0:00:00
1atiA_1qf6A,-110581,3,04/07/2016 0:00:00
1atlA_1bkcA,564004,8,04/07/2016 0:00:00
1atzA_1auq,54889,1,04/07/2016 0:00:00
1atzA_1ido,137075,2,04/07/2016 0:00:00
1atzA_2scuB,199292,0,04/07/2016 0:00:00
1au7A_2hddA,46520,6,04/07/2016 0:00:00
1auiB_1dguA,135143,1,04/07/2016 0:00:00
1auk_1fsu,-184026,11,04/07/2016 0:00:00
1auoA_1brt,45994,5,04/07/2016 0:00:00
1auoA_1fj2B,341245,10,04/07/2016 0:00:00
1auoA_1i6wA,-117607,1,04/07/2016 0:00:00
1auoA_1jfrA,-500463,0,04/07/2016 0:00:00
1auq_1ido,82266,1,04/07/2016 0:00:00
1auvA_1iow,147811,1,04/07/2016 0:00:00
1auyA_1e57B,304156,4,04/07/2016 0:00:00
1auyA_1qqp3,-352876,0,04/07/2016 0:00:00
1auz_1dciA,-80970,0,04/07/2016 0:00:00
1avaC_1wba,225881,2,04/07/2016 0:00:00
1avgI_1epaA,-101359,2,04/07/2016 0:00:00
1avmA_3mdsA,644276,21,04/07/2016 0:00:00
1avpA_1euvA,-101140,2,04/07/2016 0:00:00
1aw0_1cc8A,112557,2,04/07/2016 0:00:00
1aw8B_1cr5A,-161660,0,04/07/2016 0:00:00
1awcA_1bc8C,107343,17,04/07/2016 0:00:00
1awcA_2hts,25414,4,04/07/2016 0:00:00
1awcA_2irfG,22822,0,04/07/2016 0:00:00
1awd_1ayfA,192993,3,04/07/2016 0:00:00
1awe_1btkA,-308082,1,04/07/2016 0:00:00
1awe_1dbhA,-425591,1,04/07/2016 0:00:00
1awe_1faoA,-200487,1,04/07/2016 0:00:00
